id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
228843,524,3/27/2014 13:35,Steuart at Market,74,3/27/2014 13:44,2nd at Folsom,62,628,Customer,10011
708574,160,4/1/2015 23:45,Howard at 2nd,63,4/1/2015 23:48,Washington at Kearny,46,677,Subscriber,94108
423892,1388,8/25/2014 18:35,Golden Gate at Polk,59,8/25/2014 18:58,Grant Avenue at Columbus Avenue,73,276,Subscriber,94109
635911,895,2/9/2015 9:01,Embarcadero at Sansome,60,2/9/2015 9:15,Powell Street BART,39,193,Subscriber,94133
441718,859,9/7/2014 15:27,Embarcadero at Sansome,60,9/7/2014 15:41,Market at Sansome,77,189,Customer,nil
210539,1180,3/12/2014 7:28,South Van Ness at Market,66,3/12/2014 7:48,Embarcadero at Folsom,51,536,Subscriber,94103
901221,2037,8/22/2015 14:30,Embarcadero at Sansome,60,8/22/2015 15:04,Embarcadero at Sansome,60,581,Customer,39
674856,587,3/10/2015 7:56,San Francisco Caltrain (Townsend at 4th),70,3/10/2015 8:05,Howard at 2nd,63,354,Subscriber,94043
482498,293,10/3/2014 18:00,Temporary Transbay Terminal (Howard at Beale),55,10/3/2014 18:05,2nd at South Park,64,633,Subscriber,94107
622426,409,1/28/2015 16:55,Market at Sansome,77,1/28/2015 17:02,Yerba Buena Center of the Arts (3rd @ Howard),68,66,Subscriber,94107
501534,408,10/16/2014 9:41,2nd at South Park,64,10/16/2014 9:48,Market at Sansome,77,621,Subscriber,94107
407299,310,8/13/2014 15:35,Embarcadero at Bryant,54,8/13/2014 15:40,Steuart at Market,74,343,Subscriber,94611
639792,295,2/11/2015 14:20,Grant Avenue at Columbus Avenue,73,2/11/2015 14:25,Market at Sansome,77,389,Subscriber,94104
130905,287,12/19/2013 11:17,2nd at Folsom,62,12/19/2013 11:22,Mechanics Plaza (Market at Battery),75,631,Subscriber,94107
370388,368,7/18/2014 17:51,San Francisco Caltrain (Townsend at 4th),70,7/18/2014 17:57,5th at Howard,57,604,Subscriber,94158
891557,454,8/15/2015 19:03,Grant Avenue at Columbus Avenue,73,8/15/2015 19:10,Davis at Jackson,42,29,Customer,94111
872894,790,8/3/2015 8:51,San Francisco Caltrain (Townsend at 4th),70,8/3/2015 9:04,Market at Sansome,77,334,Subscriber,94002
313174,592,6/6/2014 7:40,Golden Gate at Polk,59,6/6/2014 7:50,San Francisco Caltrain (Townsend at 4th),70,600,Subscriber,94109
119656,431,12/9/2013 17:00,Beale at Market,56,12/9/2013 17:07,Embarcadero at Sansome,60,533,Subscriber,94111
448197,1063,9/11/2014 11:20,Embarcadero at Sansome,60,9/11/2014 11:38,Market at Sansome,77,537,Customer,60618
625217,567,1/30/2015 9:45,Steuart at Market,74,1/30/2015 9:54,2nd at Townsend,61,409,Subscriber,94612
614846,679,1/22/2015 17:06,Powell at Post (Union Square),71,1/22/2015 17:18,San Francisco Caltrain (Townsend at 4th),70,504,Subscriber,94158
722717,288,4/13/2015 9:30,Beale at Market,56,4/13/2015 9:35,Broadway St at Battery St,82,459,Subscriber,94132
107393,1295,11/25/2013 16:20,Harry Bridges Plaza (Ferry Building),50,11/25/2013 16:42,Embarcadero at Sansome,60,397,Customer,94545
843145,820,7/12/2015 16:00,San Francisco Caltrain 2 (330 Townsend),69,7/12/2015 16:13,Civic Center BART (7th at Market),72,514,Subscriber,94103
275659,180,5/7/2014 17:06,San Jose City Hall,10,5/7/2014 17:09,San Salvador at 1st,8,650,Subscriber,95113
461260,576,9/19/2014 16:02,South Van Ness at Market,66,9/19/2014 16:11,Townsend at 7th,65,385,Subscriber,94107
803624,862,6/11/2015 17:36,Mechanics Plaza (Market at Battery),75,6/11/2015 17:50,San Francisco Caltrain (Townsend at 4th),70,96,Subscriber,94063
847770,636,7/15/2015 13:33,Yerba Buena Center of the Arts (3rd @ Howard),68,7/15/2015 13:44,Civic Center BART (7th at Market),72,356,Subscriber,94105
806557,495,6/15/2015 6:21,Harry Bridges Plaza (Ferry Building),50,6/15/2015 6:29,2nd at Townsend,61,447,Subscriber,94945
59028,221,10/15/2013 13:29,Commercial at Montgomery,45,10/15/2013 13:33,Harry Bridges Plaza (Ferry Building),50,536,Subscriber,94123
286676,697,5/16/2014 8:50,Golden Gate at Polk,59,5/16/2014 9:02,San Francisco Caltrain (Townsend at 4th),70,358,Subscriber,94102
350792,542,7/4/2014 11:53,Embarcadero at Bryant,54,7/4/2014 12:02,Embarcadero at Vallejo,48,519,Subscriber,94105
492125,262,10/10/2014 8:50,Mountain View Caltrain Station,28,10/10/2014 8:55,Mountain View City Hall,27,703,Subscriber,94107
546314,669,11/16/2014 10:16,2nd at Townsend,61,11/16/2014 10:27,Yerba Buena Center of the Arts (3rd @ Howard),68,548,Subscriber,94107
907463,600,8/27/2015 7:50,San Francisco Caltrain 2 (330 Townsend),69,8/27/2015 8:00,Post at Kearny,47,578,Subscriber,94002
