date,max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,events,wind_dir_degrees,zip_code
8/19/2014,75.0,68.0,62.0,63.0,59.0,55.0,77.0,70.0,61.0,29.88,29.84,29.79,10.0,10.0,10.0,17.0,9.0,,0,3.0,,34.0,94301
12/14/2014,60.0,53.0,46.0,50.0,47.0,45.0,100.0,86.0,55.0,30.16,30.08,30.0,10.0,9.0,5.0,10.0,1.0,,0.08,6.0,Rain,125.0,94063
6/30/2015,89.0,75.0,61.0,60.0,57.0,53.0,90.0,61.0,32.0,29.94,29.89,29.81,10.0,10.0,10.0,13.0,5.0,18.0,0,1.0,,340.0,94041
7/2/2014,70.0,64.0,57.0,55.0,54.0,53.0,86.0,72.0,57.0,29.92,29.88,29.85,10.0,10.0,10.0,21.0,11.0,23.0,0,6.0,,265.0,94107
7/12/2014,70.0,64.0,58.0,55.0,54.0,53.0,80.0,69.0,57.0,30.1,30.07,30.04,10.0,10.0,6.0,23.0,12.0,25.0,T,5.0,,273.0,94107
5/5/2014,67.0,60.0,53.0,49.0,46.0,41.0,77.0,60.0,43.0,30.07,30.02,29.97,10.0,10.0,10.0,22.0,11.0,30.0,0,4.0,,286.0,95113
6/14/2014,80.0,67.0,53.0,54.0,50.0,48.0,89.0,63.0,36.0,29.95,29.9,29.85,10.0,10.0,10.0,23.0,9.0,25.0,0,2.0,,282.0,94107
3/28/2015,78.0,64.0,49.0,52.0,47.0,42.0,83.0,56.0,29.0,30.19,30.13,30.06,10.0,10.0,10.0,17.0,6.0,29.0,0,2.0,,304.0,95113
7/30/2014,75.0,67.0,59.0,61.0,57.0,55.0,88.0,77.0,57.0,30.02,29.99,29.94,10.0,10.0,10.0,14.0,4.0,,0,2.0,,344.0,94063
2/9/2014,67.0,63.0,59.0,54.0,53.0,52.0,78.0,71.0,63.0,30.18,30.14,30.11,10.0,10.0,9.0,16.0,7.0,22.0,0.03,7.0,Rain,156.0,94301
10/17/2014,75.0,63.0,51.0,52.0,47.0,44.0,83.0,60.0,36.0,29.99,29.95,29.91,10.0,10.0,10.0,15.0,6.0,20.0,0,4.0,,148.0,95113
12/28/2014,55.0,47.0,39.0,48.0,41.0,36.0,86.0,75.0,64.0,30.37,30.29,30.24,10.0,10.0,9.0,10.0,4.0,14.0,0,3.0,,176.0,94107
8/3/2014,74.0,66.0,58.0,58.0,56.0,55.0,93.0,75.0,57.0,29.97,29.94,29.91,10.0,10.0,10.0,16.0,7.0,21.0,0,6.0,,328.0,95113
6/11/2014,76.0,67.0,58.0,57.0,54.0,51.0,80.0,63.0,46.0,29.92,29.87,29.83,10.0,10.0,10.0,20.0,10.0,23.0,0,0.0,,51.0,94041
5/14/2014,91.0,76.0,61.0,54.0,44.0,34.0,53.0,34.0,15.0,30.15,30.1,30.04,10.0,10.0,10.0,16.0,4.0,30.0,0,0.0,,343.0,94041
